model-1615048635, 1615048643.071, 0.65, 0.1992, 0.64,0.2297
model-1615048635, 1615048643.118, 0.8, 0.158, 0.64,0.2183
model-1615048635, 1615048643.169, 0.76, 0.1784, 0.64,0.2124
model-1615048635, 1615048643.219, 0.68, 0.2156, 0.77,0.1712
model-1615048635, 1615048643.272, 0.72, 0.1658, 0.67,0.1918
model-1615048635, 1615048643.321, 0.69, 0.2035, 0.73,0.1802
model-1615048635, 1615048643.368, 0.76, 0.1627, 0.75,0.1802
model-1615048635, 1615048643.414, 0.74, 0.176, 0.66,0.2134
model-1615048635, 1615048643.468, 0.69, 0.1959, 0.66,0.2017
model-1615048635, 1615048643.516, 0.78, 0.1677, 0.74,0.1798
model-1615048635, 1615048643.583, 0.68, 0.2104, 0.74,0.1743
model-1615048635, 1615048643.632, 0.75, 0.1688, 0.75,0.1626
model-1615048635, 1615048643.682, 0.76, 0.1566, 0.7,0.1921
model-1615048635, 1615048643.728, 0.93, 0.1079, 0.65,0.2195
model-1615048635, 1615048643.776, 0.73, 0.1725, 0.69,0.1981
model-1615048635, 1615048643.822, 0.68, 0.1895, 0.77,0.1524
model-1615048635, 1615048643.872, 0.64, 0.2272, 0.8,0.1513
model-1615048635, 1615048643.918, 0.74, 0.1588, 0.68,0.2045
model-1615048635, 1615048643.963, 0.72, 0.1912, 0.74,0.1881
model-1615048635, 1615048644.013, 0.73, 0.2012, 0.79,0.1533
model-1615048635, 1615048644.058, 0.76, 0.1721, 0.69,0.1865
model-1615048635, 1615048644.106, 0.77, 0.1512, 0.69,0.2095
model-1615048635, 1615048644.153, 0.77, 0.1667, 0.79,0.1628
model-1615048635, 1615048644.208, 0.65, 0.2435, 0.78,0.163
model-1615048635, 1615048644.255, 0.74, 0.1806, 0.75,0.1618
model-1615048635, 1615048644.303, 0.65, 0.2122, 0.73,0.1809
model-1615048635, 1615048644.355, 0.76, 0.1788, 0.6,0.2375
model-1615048635, 1615048644.401, 0.74, 0.162, 0.76,0.187
model-1615048635, 1615048644.448, 0.66, 0.2046, 0.72,0.1801
model-1615048635, 1615048644.494, 0.81, 0.1589, 0.71,0.1861
model-1615048635, 1615048644.547, 0.63, 0.2111, 0.66,0.2116
model-1615048635, 1615048644.598, 0.76, 0.158, 0.75,0.1836
model-1615048635, 1615048644.645, 0.71, 0.1804, 0.67,0.2231
model-1615048635, 1615048644.696, 0.73, 0.1736, 0.71,0.1829
model-1615048635, 1615048644.743, 0.76, 0.1634, 0.77,0.1626
model-1615048635, 1615048644.796, 0.79, 0.1656, 0.72,0.1731
model-1615048635, 1615048644.844, 0.72, 0.1899, 0.68,0.2218
model-1615048635, 1615048644.892, 0.83, 0.1435, 0.77,0.1568
model-1615048635, 1615048644.938, 0.73, 0.1725, 0.81,0.15
model-1615048635, 1615048644.984, 0.68, 0.2461, 0.62,0.228
model-1615048635, 1615048645.034, 0.69, 0.179, 0.7,0.1906
model-1615048635, 1615048645.083, 0.74, 0.1557, 0.7,0.1852
model-1615048635, 1615048645.133, 0.8, 0.1549, 0.71,0.1984
model-1615048635, 1615048645.179, 0.65, 0.1941, 0.83,0.1489
model-1615048635, 1615048645.228, 0.67, 0.2209, 0.58,0.2509
model-1615048635, 1615048645.274, 0.67, 0.198, 0.69,0.1868
model-1615048635, 1615048645.319, 0.7, 0.1937, 0.78,0.1787
model-1615048635, 1615048645.375, 0.66, 0.2161, 0.63,0.2349
model-1615048635, 1615048645.429, 0.77, 0.178, 0.7,0.1885
model-1615048635, 1615048645.48, 0.75, 0.1467, 0.7,0.1897
model-1615048635, 1615048645.526, 0.77, 0.1632, 0.76,0.1607
model-1615048635, 1615048645.58, 0.71, 0.1702, 0.73,0.1816
model-1615048635, 1615048645.626, 0.67, 0.2169, 0.79,0.1614
model-1615048635, 1615048645.677, 0.73, 0.1865, 0.72,0.1915
model-1615048635, 1615048645.729, 0.76, 0.1771, 0.75,0.1556
model-1615048635, 1615048645.777, 0.69, 0.1959, 0.72,0.1748
model-1615048635, 1615048645.827, 0.75, 0.1698, 0.82,0.1428
model-1615048635, 1615048645.874, 0.65, 0.2337, 0.73,0.1619
model-1615048635, 1615048645.925, 0.78, 0.1471, 0.76,0.174
model-1615048635, 1615048645.976, 0.78, 0.141, 0.77,0.183
model-1615048635, 1615048646.027, 0.71, 0.1973, 0.71,0.1983
model-1615048635, 1615048646.074, 0.78, 0.1582, 0.73,0.1727
model-1615048635, 1615048646.121, 0.74, 0.1654, 0.69,0.1961
model-1615048635, 1615048646.174, 0.7, 0.1953, 0.74,0.195
model-1615048635, 1615048646.226, 0.69, 0.1865, 0.76,0.1587
model-1615048635, 1615048646.278, 0.8, 0.1216, 0.77,0.1637
model-1615048635, 1615048646.325, 0.7, 0.1862, 0.75,0.1792
model-1615048635, 1615048646.375, 0.8, 0.1631, 0.7,0.1854
model-1615048635, 1615048646.422, 0.7, 0.1904, 0.68,0.2294
model-1615048635, 1615048646.472, 0.76, 0.1636, 0.8,0.1697
model-1615048635, 1615048646.523, 0.79, 0.1488, 0.69,0.1896
model-1615048635, 1615048646.57, 0.78, 0.1684, 0.79,0.1741
model-1615048635, 1615048646.625, 0.72, 0.1813, 0.78,0.1549
model-1615048635, 1615048646.672, 0.72, 0.1849, 0.73,0.1893
model-1615048635, 1615048646.721, 0.84, 0.1447, 0.76,0.1585
model-1615048635, 1615048646.772, 0.73, 0.1729, 0.68,0.181
model-1615048635, 1615048646.822, 0.81, 0.138, 0.72,0.1752
model-1615048635, 1615048646.873, 0.78, 0.1603, 0.73,0.171
model-1615048635, 1615048646.923, 0.68, 0.1881, 0.76,0.1609
model-1615048635, 1615048646.97, 0.75, 0.1491, 0.7,0.195
model-1615048635, 1615048647.021, 0.73, 0.1724, 0.73,0.1741
model-1615048635, 1615048647.072, 0.79, 0.1452, 0.69,0.1957
model-1615048635, 1615048647.119, 0.7, 0.1855, 0.72,0.1785
model-1615048635, 1615048647.17, 0.78, 0.1524, 0.78,0.1658
model-1615048635, 1615048647.217, 0.73, 0.1808, 0.83,0.1399
model-1615048635, 1615048647.267, 0.67, 0.1908, 0.68,0.2271
model-1615048635, 1615048647.322, 0.81, 0.1475, 0.71,0.1783
model-1615048635, 1615048647.375, 0.8, 0.1453, 0.76,0.1588
model-1615048635, 1615048647.424, 0.95, 0.0832, 0.68,0.2032
model-1615048635, 1615048647.475, 0.79, 0.1582, 0.76,0.163
model-1615048635, 1615048647.522, 0.73, 0.1843, 0.72,0.1879
model-1615048635, 1615048647.574, 0.69, 0.2208, 0.68,0.1931
model-1615048635, 1615048647.632, 0.8, 0.1512, 0.7,0.2029
model-1615048635, 1615048647.68, 0.7, 0.1878, 0.8,0.156
model-1615048635, 1615048647.731, 0.72, 0.1894, 0.76,0.1723
model-1615048635, 1615048647.778, 0.77, 0.1702, 0.81,0.1703
model-1615048635, 1615048647.828, 0.78, 0.1385, 0.75,0.1624
model-1615048635, 1615048647.889, 0.79, 0.1565, 0.72,0.1864
model-1615048635, 1615048647.94, 0.74, 0.2125, 0.77,0.1775
model-1615048635, 1615048647.988, 0.79, 0.1524, 0.77,0.1759
model-1615048635, 1615048648.043, 0.73, 0.1681, 0.7,0.2088
model-1615048635, 1615048648.09, 0.77, 0.1594, 0.69,0.1925
model-1615048635, 1615048648.14, 0.77, 0.1413, 0.77,0.1746
model-1615048635, 1615048648.188, 0.78, 0.1649, 0.76,0.1735
model-1615048635, 1615048648.237, 0.79, 0.1324, 0.81,0.153
model-1615048635, 1615048648.287, 0.73, 0.1912, 0.74,0.1944
model-1615048635, 1615048648.339, 0.79, 0.1433, 0.74,0.1796
model-1615048635, 1615048648.392, 0.81, 0.1399, 0.81,0.1454
model-1615048635, 1615048648.438, 0.7, 0.1765, 0.71,0.197
model-1615048635, 1615048648.488, 0.81, 0.1413, 0.71,0.1899
model-1615048635, 1615048648.535, 0.79, 0.1493, 0.72,0.1928
model-1615048635, 1615048648.585, 0.73, 0.1825, 0.79,0.141
model-1615048635, 1615048648.641, 0.87, 0.1224, 0.78,0.1518
model-1615048635, 1615048648.687, 0.73, 0.1709, 0.8,0.152
model-1615048635, 1615048648.737, 0.7, 0.2102, 0.65,0.2164
model-1615048635, 1615048648.783, 0.74, 0.1589, 0.69,0.2186
model-1615048635, 1615048648.832, 0.84, 0.1258, 0.73,0.1801
model-1615048635, 1615048648.878, 0.84, 0.1315, 0.71,0.1959
model-1615048635, 1615048648.927, 0.69, 0.1924, 0.71,0.1756
model-1615048635, 1615048648.979, 0.78, 0.1606, 0.81,0.1412
model-1615048635, 1615048649.03, 0.72, 0.1834, 0.82,0.1613
model-1615048635, 1615048649.082, 0.72, 0.1752, 0.84,0.1306
